Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SMLVN6RGB,MHP5050RGBDT,111.9,-60.96,180.0,top
D2,SMLVN6RGB,LED_RGB_5050-6,107.09,-47.6,90.0,top
J11,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,133.6,-75.6315,0.0,top
J12,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,121.6,-75.6315,0.0,top
J13,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,109.6,-75.6315,0.0,top
J14,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,97.6,-75.6315,0.0,top
J15,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,96.6995,-48.15,-90.0,top
J16,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,145.6,-75.6315,0.0,top
J17,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,96.6995,-60.25,-90.0,top
J2,Conn_01x12_Socket,FPC-SMD_FPC05012-09200-.5mm-rev,144.5115,-46.3,90.0,top
J3,~,vik-keyboard-connector-horizontal,144.6515,-57.89,90.0,top
R1,47,R_0805_2012Metric,105.156,-52.9355,90.0,top
R2,180,R_0805_2012Metric,107.1,-52.9355,90.0,top
R3,390,R_0805_2012Metric,109.041331,-52.939017,90.0,top
R4,47,R_0805_2012Metric,106.42,-62.36,0.0,top
R5,180,R_0805_2012Metric,106.426,-60.452,0.0,top
R6,390,R_0805_2012Metric,106.42,-58.54,0.0,top
